fps_value,allocation_key,n,mean,std,ci95_halfwidth
4500.0,middle_MaaS_Bundle,30,0.2943419879656595,0.2743244105347773,0.1024344183562342
5500.0,middle_MaaS_Bundle,30,0.24256079591811622,0.2546129793440442,0.09507404898532944
6500.0,middle_MaaS_Bundle,30,0.31363519567692816,0.2830864174428834,0.10570620550603786
7000.0,middle_MaaS_Bundle,30,0.2998675859105696,0.28379183442538036,0.10596961253627561
7500.0,middle_MaaS_Bundle,30,0.361856529021968,0.308552164047549,0.11521527156534675
8000.0,middle_MaaS_Bundle,30,0.28724633114779435,0.2628413162875884,0.09814656049536222
8500.0,middle_MaaS_Bundle,30,0.3362903889973992,0.30212381753960205,0.11281488753007188
9000.0,middle_MaaS_Bundle,30,0.2924026345073382,0.2565174960681173,0.09578520721765676
9500.0,middle_MaaS_Bundle,30,0.3372577953932048,0.31200757803209295,0.11650554435221522
10000.0,middle_MaaS_Bundle,30,0.29690786697190663,0.2615153899116441,0.09765145144969518
15000.0,middle_MaaS_Bundle,30,0.3326008120752207,0.28305414976062426,0.10569415655546335
3500.0,middle_bike,30,0.4761718040401311,0.14923765436831848,0.05572625597651438
4500.0,middle_bike,30,0.4668287648928137,0.16198171412492457,0.06048496609684303
5500.0,middle_bike,30,0.48499489998445167,0.20363129312500483,0.07603717448886428
6500.0,middle_bike,30,0.46814790942034773,0.21030089104604005,0.0785276432822879
7000.0,middle_bike,30,0.49870946161563956,0.22323090099448187,0.08335578834537936
7500.0,middle_bike,30,0.46707449996145445,0.21753545517386205,0.08122907392438664
8000.0,middle_bike,30,0.5166866406732259,0.22496436866018965,0.08400307580962638
8500.0,middle_bike,30,0.4505510530749533,0.2324772885002268,0.08680844618286794
9000.0,middle_bike,30,0.530516630182245,0.22811876598864728,0.08518094712984581
9500.0,middle_bike,30,0.4515841958003712,0.239193733408918,0.08931640792897093
10000.0,middle_bike,30,0.48023581305943963,0.23755103140403214,0.08870301291948171
15000.0,middle_bike,30,0.480936154094833,0.21402786828830464,0.07991931945610728
3500.0,middle_car,30,0.30351067692321515,0.1304102321438781,0.0486959809785725
4500.0,middle_car,30,0.3290913889825852,0.1808832370707707,0.06754291075889601
5500.0,middle_car,30,0.41855010788441477,0.19170334885492607,0.07158320689950826
6500.0,middle_car,30,0.3745617323603073,0.20872490226791798,0.07793915940107521
7000.0,middle_car,30,0.34083785011209167,0.2067092851881193,0.07718651561412396
7500.0,middle_car,30,0.390688614274826,0.1995349981676905,0.07450759281383185
8000.0,middle_car,30,0.3549886881815301,0.17234279589191567,0.06435385761208996
8500.0,middle_car,30,0.39174608484529116,0.20965099706268037,0.07828496888065922
9000.0,middle_car,30,0.34369144020139986,0.1838292494733994,0.06864296986900303
9500.0,middle_car,30,0.41211430953072414,0.2018978834661179,0.07538990868472013
10000.0,middle_car,30,0.3395951210898391,0.17196349644139813,0.06421222486959774
15000.0,middle_car,30,0.35216458143011486,0.1777272103496723,0.06636443101346531
3500.0,middle_public,30,0.355649345673586,0.18137227158420555,0.0677255192472991
4500.0,middle_public,30,0.34954764595963617,0.1758104501465138,0.06564870099091225
5500.0,middle_public,30,0.3437101703804055,0.17906567718134445,0.06686422274225888
6500.0,middle_public,30,0.41931128875918194,0.16129835321225602,0.06022979493843198
7000.0,middle_public,30,0.4534475445959367,0.1803839711650834,0.06735648180583828
7500.0,middle_public,30,0.4282049956322095,0.19009570332933887,0.0709829021945223
8000.0,middle_public,30,0.3712462293874045,0.17889378858080374,0.06680003848397821
8500.0,middle_public,30,0.44253474449647906,0.19641556617629313,0.07334277776504453
9000.0,middle_public,30,0.37876853666490984,0.1953556011078072,0.07294698030372267
9500.0,middle_public,30,0.447735481746772,0.18458760795253976,0.0689261455789766
10000.0,middle_public,30,0.3803384140976685,0.17633503984040932,0.06584458600189289
15000.0,middle_public,30,0.3973991022574779,0.17691700253924558,0.06606189444500264
