fps_value,allocation_key,n,mean,std,ci95_halfwidth
5500.0,high_car,30,0.23922925355220312,0.17407765376616874,0.06500166418873916
6500.0,high_car,30,0.30278602829938556,0.2314181104875816,0.08641294261302697
7000.0,high_car,30,0.38126229941685247,0.24127430460573895,0.09009330598182601
7500.0,high_car,30,0.277795136756498,0.20699755560729946,0.07729415755769166
8000.0,high_car,30,0.3642726459525678,0.2369133642841173,0.08846490410369665
8500.0,high_car,30,0.3087938456673052,0.21262849122379102,0.07939678347257935
9000.0,high_car,30,0.3321445418980387,0.20506825934028788,0.07657374649196504
9500.0,high_car,30,0.3087938456673052,0.21262849122379102,0.07939678347257935
10000.0,high_car,30,0.33214454189803866,0.20506825934028788,0.07657374649196504
15000.0,high_car,30,0.3191415015035506,0.21010580862779574,0.07845479831014186
3500.0,high_public,30,0.6866712991026233,0.18950472461074505,0.07076222711430592
4500.0,high_public,30,0.664061355523961,0.1980705910236195,0.07396077419952335
5500.0,high_public,30,0.6223753019288393,0.19165877952734728,0.07156656443907915
6500.0,high_public,30,0.614428357730995,0.18849259524945847,0.07038429179960845
7000.0,high_public,30,0.5722837994058494,0.22309007138706416,0.08330320170573235
7500.0,high_public,30,0.6120471821455201,0.21566257037244307,0.08052972724609583
8000.0,high_public,30,0.5725304954434043,0.2130715840673055,0.07956223705950126
8500.0,high_public,30,0.6234614496612167,0.18353896703240422,0.06853457662414232
9000.0,high_public,30,0.5557942532472613,0.20151715059360217,0.07524774069365722
9500.0,high_public,30,0.6234614496612167,0.18353896703240422,0.06853457662414232
10000.0,high_public,30,0.5557942532472612,0.20151715059360217,0.07524774069365722
15000.0,high_public,30,0.5420555431111801,0.204532135042095,0.07637355438895468
3500.0,low_MaaS_Bundle,30,0.555231733366138,0.1613746381724103,0.06025828021069593
4500.0,low_MaaS_Bundle,30,0.5005668978036858,0.23536382833151254,0.08788629786986672
5500.0,low_MaaS_Bundle,30,0.47178843353033634,0.24703266614303723,0.092243513517525
6500.0,low_MaaS_Bundle,30,0.5141848524835636,0.23996951678418801,0.08960609020209166
7000.0,low_MaaS_Bundle,30,0.6184768763632731,0.1911723285413487,0.07138492065567525
7500.0,low_MaaS_Bundle,30,0.5658995550519283,0.21602858674045985,0.0806664000040672
8000.0,low_MaaS_Bundle,30,0.6005804048879295,0.19523241533448327,0.07290098198000222
8500.0,low_MaaS_Bundle,30,0.5906878385544349,0.20355678647343306,0.07600935324793809
9000.0,low_MaaS_Bundle,30,0.6065531319571743,0.19502467458262912,0.07282341030840514
9500.0,low_MaaS_Bundle,30,0.5906878385544349,0.20355678647343306,0.07600935324793809
10000.0,low_MaaS_Bundle,30,0.6065531319571742,0.19502467458262912,0.07282341030840514
15000.0,low_MaaS_Bundle,30,0.6045289691005664,0.18827975351071363,0.07030481538820288
