seed,fps,avg_equity,low,middle,high,budget_used_pct,terminated_early,source_path,alloc__high_MaaS_Bundle,alloc__high_bike,alloc__high_car,alloc__high_public,alloc__low_MaaS_Bundle,alloc__low_bike,alloc__low_car,alloc__low_public,alloc__middle_MaaS_Bundle,alloc__middle_bike,alloc__middle_car,alloc__middle_public
25,3500.0,7982.0,29.908450704225352,17.83478260869565,13.917355371900827,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7518300[25].kman.restech.unsw.edu.au/seed_25/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
26,3500.0,8625.0,33.1021897810219,24.285714285714285,11.492537313432836,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7518300[26].kman.restech.unsw.edu.au/seed_26/all_results.pkl,0.2831530355888955,0.5539114342111641,0.717790987518624,0.7327221969778215,0.5895653609894929,0.3207891800954925,0.6235567169212053,0.6041636157465157,0.7803067892389685,0.5703914477003859,0.08379622364398792,0.7804653348737101
27,3500.0,7381.0,25.77777777777778,17.74736842105263,14.466666666666667,97.07255326994901,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[27].kman.restech.unsw.edu.au/seed_27/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
28,3500.0,7837.0,27.587096774193547,19.271317829457363,13.4375,97.83618461264177,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[28].kman.restech.unsw.edu.au/seed_28/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
29,3500.0,7546.0,21.91616766467066,20.130841121495326,14.554621848739496,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[29].kman.restech.unsw.edu.au/seed_29/all_results.pkl,0.757342620526263,0.41217211366147694,0.1136499128778845,0.4982514878312008,0.08897060226904033,0.2612326117548574,0.7374734858313148,0.5606872085900427,0.2667101467256729,0.7131265977473075,0.5056552948189161,0.1212109053526803
0,4500.0,8208.0,26.59893048128342,18.976744186046513,16.515463917525775,76.55149297195697,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[0].kman.restech.unsw.edu.au/seed_0/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
1,4500.0,7906.0,26.87012987012987,19.292035398230087,12.806451612903226,73.88977713534645,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[1].kman.restech.unsw.edu.au/seed_1/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
2,4500.0,7773.0,25.524390243902438,19.692307692307693,14.941747572815533,80.51126635323791,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[2].kman.restech.unsw.edu.au/seed_2/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
3,4500.0,7299.0,25.87769784172662,17.824817518248175,10.76923076923077,57.50793354759176,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[3].kman.restech.unsw.edu.au/seed_3/all_results.pkl,0.7029301975605097,0.024191225991462617,0.26454740318701314,0.6106878878677803,0.655658580117267,0.6356134879919336,0.217723838672917,0.5772761278215224,0.4172368828007418,0.24454152129841653,0.09361827438958248,0.3368335600877935
4,4500.0,7542.0,27.938356164383563,14.928571428571429,15.602272727272727,67.16098611428275,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[4].kman.restech.unsw.edu.au/seed_4/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
5,4500.0,7512.0,27.576923076923077,16.735849056603772,14.07843137254902,75.05740174603783,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[5].kman.restech.unsw.edu.au/seed_5/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
6,4500.0,7704.0,32.02238805970149,13.88,13.109375,80.98456444959804,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[6].kman.restech.unsw.edu.au/seed_6/all_results.pkl,0.28078660186630916,0.09722809915920305,0.18626079566180032,0.5800019275592762,0.44297078094003456,0.2472878068189698,0.3620839261707443,0.48798602007556263,0.6939452055261204,0.3561330497013117,0.5885446057525926,0.382983390847524
7,4500.0,7592.0,20.744318181818183,17.6,17.093457943925234,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[7].kman.restech.unsw.edu.au/seed_7/all_results.pkl,0.757342620526263,0.41217211366147694,0.1136499128778845,0.4982514878312008,0.08897060226904033,0.2612326117548574,0.7374734858313148,0.5606872085900427,0.2667101467256729,0.7131265977473075,0.5056552948189161,0.1212109053526803
8,4500.0,8073.0,31.3,15.384615384615385,11.96629213483146,51.207193321269614,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[8].kman.restech.unsw.edu.au/seed_8/all_results.pkl,0.7029301975605097,0.024191225991462617,0.26454740318701314,0.6106878878677803,0.655658580117267,0.6356134879919336,0.217723838672917,0.5772761278215224,0.4172368828007418,0.24454152129841653,0.09361827438958248,0.3368335600877935
9,4500.0,8003.0,26.28021978021978,14.78125,16.0,96.0294848749116,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[9].kman.restech.unsw.edu.au/seed_9/all_results.pkl,0.6034216585394929,0.7224760616643924,0.36458377794880725,0.15249824704082304,0.7028800892513756,0.5857619624901081,0.4651135138598801,0.7765460323297472,0.7476858201446702,0.3750388617465681,0.39664050286907304,0.5033602896325262
10,4500.0,7305.0,27.56687898089172,14.649253731343284,10.903225806451612,88.55471510014789,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[10].kman.restech.unsw.edu.au/seed_10/all_results.pkl,0.34461685664758956,0.7339280329097836,0.44696466032725957,0.7638578803278839,0.009651738346604792,0.7233134499494847,0.4435082213743915,0.4739773764414392,0.6870132725702733,0.19302853366273798,0.4044307750870726,0.2643080320533784
