fps_value,total_trips,avg_trip_time,total_system_travel_time,total_subsidy_used,percentage_used,low_trip_count,middle_trip_count,high_trip_count,seed,source_path
4500.0,386,21.64507772020725,8355.0,4500.0,100.0,144,141,101,12,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[12].kman.restech.unsw.edu.au/seed_12/trip_summary_by_fps.csv
4500.0,371,21.92722371967655,8135.0,4176.625076757468,92.8138905946104,170,130,71,13,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[13].kman.restech.unsw.edu.au/seed_13/trip_summary_by_fps.csv
4500.0,364,18.167582417582416,6613.0,3078.609152914696,68.41353673143769,169,114,81,14,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[14].kman.restech.unsw.edu.au/seed_14/trip_summary_by_fps.csv
4500.0,380,20.097368421052632,7637.0,4500.0,100.0,150,136,94,15,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[15].kman.restech.unsw.edu.au/seed_15/trip_summary_by_fps.csv
4500.0,382,19.75130890052356,7545.0,4197.497093859087,93.2777131968686,184,102,96,16,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[16].kman.restech.unsw.edu.au/seed_16/trip_summary_by_fps.csv
4500.0,367,19.42506811989101,7129.0,3573.1338606971035,79.40297468215786,155,123,89,17,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[17].kman.restech.unsw.edu.au/seed_17/trip_summary_by_fps.csv
4500.0,391,19.46547314578005,7611.0,3576.7073879115783,79.48238639803508,175,125,91,18,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[18].kman.restech.unsw.edu.au/seed_18/trip_summary_by_fps.csv
4500.0,400,17.8525,7141.0,3356.5116800642663,74.58914844587258,176,119,105,19,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[19].kman.restech.unsw.edu.au/seed_19/trip_summary_by_fps.csv
4500.0,375,21.856,8196.0,3447.463848365573,76.61030774145718,147,143,85,20,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[20].kman.restech.unsw.edu.au/seed_20/trip_summary_by_fps.csv
4500.0,380,20.57631578947369,7819.0,4500.0,100.0,174,146,60,21,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[21].kman.restech.unsw.edu.au/seed_21/trip_summary_by_fps.csv
